t=1789112857.802s wall=1789112847802ms | player_A: 2641ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.836s wall=1789112847836ms | player_A: 2675ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.870s wall=1789112847870ms | player_A: 2709ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.903s wall=1789112847903ms | player_A: 2742ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.935s wall=1789112847935ms | player_A: 2774ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112857.969s wall=1789112847969ms | player_A: 2808ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.001s wall=1789112848001ms | player_A: 2840ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.033s wall=1789112848033ms | player_A: 2872ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.061s wall=1789112848061ms | player_A: 2900ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.090s wall=1789112848090ms | player_A: 2929ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.119s wall=1789112848119ms | player_A: 2958ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.148s wall=1789112848148ms | player_A: 2987ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.177s wall=1789112848177ms | player_A: 3016ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.205s wall=1789112848205ms | player_A: 3044ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.233s wall=1789112848233ms | player_A: 3072ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.263s wall=1789112848263ms | player_A: 3101ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.291s wall=1789112848291ms | player_A: 3130ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.321s wall=1789112848321ms | player_A: 3160ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.349s wall=1789112848349ms | player_A: 3188ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.378s wall=1789112848378ms | player_A: 3217ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.407s wall=1789112848407ms | player_A: 3246ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.436s wall=1789112848436ms | player_A: 3275ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.465s wall=1789112848465ms | player_A: 3304ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.494s wall=1789112848494ms | player_A: 3332ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.523s wall=1789112848523ms | player_A: 3362ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.552s wall=1789112848552ms | player_A: 3391ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.581s wall=1789112848581ms | player_A: 3420ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.610s wall=1789112848610ms | player_A: 3449ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.639s wall=1789112848639ms | player_A: 3478ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.656s wall=1789112848656ms | player_A: 3495ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.664s wall=1789112848664ms | player_A: 3503ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.670s wall=1789112848670ms | player_A: 3509ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.713s wall=1789112848713ms | player_A: 3552ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.744s wall=1789112848744ms | player_A: 3583ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.780s wall=1789112848780ms | player_A: 3619ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.829s wall=1789112848829ms | player_A: 3668ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.851s wall=1789112848851ms | player_A: 3690ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.887s wall=1789112848887ms | player_A: 3726ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.921s wall=1789112848921ms | player_A: 3760ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.953s wall=1789112848953ms | player_A: 3792ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112858.985s wall=1789112848985ms | player_A: 3824ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.016s wall=1789112849016ms | player_A: 3855ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.048s wall=1789112849048ms | player_A: 3887ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.082s wall=1789112849082ms | player_A: 3921ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.114s wall=1789112849114ms | player_A: 3953ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.147s wall=1789112849147ms | player_A: 3986ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.176s wall=1789112849176ms | player_A: 4015ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.207s wall=1789112849207ms | player_A: 4046ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.239s wall=1789112849239ms | player_A: 4077ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.270s wall=1789112849270ms | player_A: 4109ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.302s wall=1789112849302ms | player_A: 4141ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.333s wall=1789112849333ms | player_A: 4172ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.365s wall=1789112849365ms | player_A: 4204ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.396s wall=1789112849396ms | player_A: 4235ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.430s wall=1789112849430ms | player_A: 4269ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.462s wall=1789112849462ms | player_A: 4301ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.496s wall=1789112849496ms | player_A: 4335ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.529s wall=1789112849529ms | player_A: 4368ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.555s wall=1789112849555ms | player_A: 4394ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.594s wall=1789112849594ms | player_A: 4433ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.618s wall=1789112849618ms | player_A: 4457ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.649s wall=1789112849649ms | player_A: 4488ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.682s wall=1789112849682ms | player_A: 4521ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.714s wall=1789112849714ms | player_A: 4553ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.747s wall=1789112849747ms | player_A: 4586ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.780s wall=1789112849780ms | player_A: 4619ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112859.806s wall=1789112849806ms | player_A: 4645ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
